Year;winner;final;result;matches;goals;red_cards;attendance;attendance_avg;result_1;result_2;penal_1;penal_2
1960;USSR;USSR - Yugoslavia;(2 - 1);4;17;0;78958;19739.5;2;1;0;0
1964;Spain;Spain - USSR;(2 - 1);4;13;0;156253;39063.25;2;1;0;0
1968;Italy;Italy - Yugoslavia;(2 - 0);5;7;1;260936;52187.2;2;0;0;0
1972;West Germany;West Germany - USSR;(3 - 0);4;10;0;106510;26627.5;3;0;0;0
1976;Czechoslovakia;Czechoslovakia - West Germany;2 - 2 (5 - 3);4;19;3;106087;26521.75;2;2;0;0
1980;West Germany;Belgium - West Germany;(1 - 2);14;27;0;350655;25046.79;1;2;5;3
1984;France;France - Spain;(2 - 0);15;41;3;599655;39977;2;0;0;0
1988;Netherlands;USSR - Netherlands;0 - 2;15;34;0;849844;56656.27;0;2;0;0
1992;Denmark;Denmark - Germany;2 - 0;15;32;0;429833;28655.53;2;0;0;0
1996;Germany;Czechia - Germany;(1 - 2);31;64;7;1276171;41166.81;1;2;0;0
2000;France;France - Italy;(2 - 1);31;85;8;1126443;36336.87;2;1;0;0
2004;Greece;Portugal - Greece;0 - 1;31;77;6;1150802;37122.65;0;1;0;0
2008;Spain;Germany - Spain;0 - 1;31;77;3;1143529;36888.03;0;1;0;0
2012;Spain;Spain - Italy;4 - 0;31;76;3;1440613;46471.39;4;0;0;0
2016;Portugal;Portugal - France;1 - 0;51;108;3;2427303;47594.18;1;0;0;0
2020;Italy;Italy - England;1 - 1 (3 - 2);51;142;6;1100278;21574.08;1;1;3;2
2024;-;W49 - W50;- - -;51;0;0;0;0;;;;
